French Polynesia,nan
Mauritius,0.53000000000000003
Cayman Islands,nan
Mozambique,nan
Burkina Faso,nan
Slovenia,0.029999999999999999
New Zealand,nan
Mongolia,0.38
Honduras,21.359999999999999
Costa Rica,1.72
Chile,nan
Seychelles,nan
Paraguay,3.71
Philippines,13.109999999999999
Norway,nan
United States,nan
Sao Tome and Principe,nan
St. Kitts and Nevis,nan
St. Lucia,nan
Albania,1.0600000000000001
Turks and Caicos Islands,nan
Finland,nan
Pakistan,nan
Ireland,nan
"Macedonia, FYR",nan
Afghanistan,nan
Fiji,nan
Ghana,nan
Romania,0.0
Bhutan,2.2000000000000002
Lesotho,nan
Serbia,nan
Mauritania,nan
Equatorial Guinea,nan
Brazil,4.5899999999999999
Tuvalu,nan
Colombia,7.0899999999999999
Benin,nan
Belgium,nan
Turkmenistan,nan
Mali,nan
Aruba,nan
Trinidad and Tobago,nan
Sint Maarten (Dutch part),nan
Ecuador,5.8700000000000001
Guinea,35.270000000000003
Lebanon,nan
"Venezuela, RB",nan
Guinea-Bissau,nan
"Yemen, Rep.",nan
Singapore,nan
Bermuda,nan
Uruguay,0.40000000000000002
Cambodia,6.1500000000000004
Hungary,0.26000000000000001
Saudi Arabia,nan
Sudan,nan
South Sudan,nan
Nicaragua,nan
Northern Mariana Islands,nan
Syrian Arab Republic,nan
Belize,nan
Armenia,1.74
Bulgaria,2.0299999999999998
Burundi,nan
"Bahamas, The",nan
Madagascar,nan
Gabon,nan
Thailand,0.059999999999999998
Portugal,nan
Tunisia,nan
Sri Lanka,1.6899999999999999
Denmark,nan
Djibouti,18.32
Brunei Darussalam,nan
Peru,4.1299999999999999
Jordan,nan
"Micronesia, Fed. Sts.",nan
Poland,0.02
West Bank and Gaza,nan
Nepal,nan
Germany,nan
Kuwait,nan
Faeroe Islands,nan
Georgia,15.49
"Hong Kong SAR, China",nan
United Arab Emirates,nan
Kosovo,0.029999999999999999
Turkey,0.26000000000000001
Liechtenstein,nan
Central African Republic,nan
Uganda,33.240000000000002
Palau,nan
Vanuatu,nan
Nigeria,nan
Curacao,nan
Monaco,nan
Netherlands,nan
"Congo, Dem. Rep.",77.180000000000007
"Macao SAR, China",nan
Myanmar,nan
"Korea, Rep.",nan
El Salvador,4.1600000000000001
Morocco,nan
Belarus,0.0
"Korea, Dem. Rep.",nan
American Samoa,nan
Liberia,nan
Guam,nan
"Congo, Rep.",nan
Botswana,nan
Malta,nan
Kenya,nan
Israel,nan
Sweden,nan
Montenegro,1.26
Barbados,nan
Cuba,nan
Ukraine,0.0
Angola,nan
Tanzania,nan
Greenland,nan
Comoros,nan
Algeria,nan
Moldova,0.34000000000000002
Kyrgyz Republic,2.9100000000000001
Haiti,53.909999999999997
Isle of Man,nan
San Marino,nan
Austria,nan
Bolivia,9.0700000000000003
Azerbaijan,nan
Swaziland,nan
Timor-Leste,nan
Zambia,nan
Tajikistan,nan
Malawi,nan
Greece,nan
Andorra,nan
Marshall Islands,nan
Senegal,nan
Czech Republic,0.059999999999999998
South Africa,nan
Canada,nan
Russian Federation,0.040000000000000001
Jamaica,nan
Zimbabwe,nan
Papua New Guinea,nan
Guyana,nan
United Kingdom,nan
Sierra Leone,nan
Estonia,0.98999999999999999
France,nan
Switzerland,nan
Lao PDR,29.949999999999999
Guatemala,nan
Italy,nan
Virgin Islands (U.S.),nan
Spain,nan
Eritrea,nan
Kazakhstan,0.059999999999999998
Luxembourg,nan
Puerto Rico,nan
Chad,nan
Antigua and Barbuda,nan
Cote d'Ivoire,nan
Libya,nan
Cyprus,nan
Solomon Islands,nan
Togo,nan
Channel Islands,nan
Iraq,nan
Samoa,nan
"Iran, Islamic Rep.",nan
"Gambia, The",nan
Grenada,nan
Slovak Republic,0.23999999999999999
Croatia,nan
St. Vincent and the Grenadines,nan
Ethiopia,nan
Dominican Republic,2.5899999999999999
Lithuania,1.03
Bosnia and Herzegovina,nan
Bahrain,nan
Oman,nan
St. Martin (French part),nan
Suriname,nan
Latvia,1.3799999999999999
"Taiwan, China",nan
Kiribati,nan
China,nan
Cameroon,nan
Vietnam,3.23
Malaysia,nan
Argentina,1.6299999999999999
Maldives,nan
India,nan
Dominica,nan
Iceland,nan
Rwanda,nan
New Caledonia,nan
Panama,4.4100000000000001
Bangladesh,nan
Uzbekistan,nan
Tonga,nan
"Egypt, Arab Rep.",nan
Cabo Verde,nan
Niger,nan
Qatar,nan
Somalia,nan
Indonesia,nan
Australia,nan
Japan,nan
Namibia,nan
Mexico,2.6800000000000002
